Training Start: 2026-01-23 22:00:22.153782
Config: Epochs=60, BatchSize=4, LR=0.0001
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 16.69467 | AvgT: 0.82348 | AvgR: 0.01551 | WLoss: 0.0230437 | Lm: 1.03e-02 | LR: 0.0001000
[Epoch 1] AvgL: 16.37955 | AvgT: 0.81719 | AvgR: 0.01349 | WLoss: 0.0206620 | Lm: 1.07e-02 | LR: 0.0001000
[Epoch 2] AvgL: 16.35908 | AvgT: 0.81629 | AvgR: 0.01341 | WLoss: 0.0209419 | Lm: 1.13e-02 | LR: 0.0001000
[Epoch 3] AvgL: 16.37193 | AvgT: 0.81625 | AvgR: 0.01377 | WLoss: 0.0211022 | Lm: 1.13e-02 | LR: 0.0001000
[Epoch 4] AvgL: 16.87147 | AvgT: 0.82300 | AvgR: 0.01651 | WLoss: 0.2771425 | Lm: 1.16e-02 | LR: 0.0001000
[Epoch 5] AvgL: 23.09388 | AvgT: 0.91830 | AvgR: 0.02136 | WLoss: 0.0973964 | Lm: 1.14e-02 | LR: 0.0001000
[Epoch 6] AvgL: 15.66126 | AvgT: 0.70900 | AvgR: 0.01730 | WLoss: 0.1190661 | Lm: 1.06e-02 | LR: 0.0001000
[Epoch 7] AvgL: 20.65215 | AvgT: 0.80517 | AvgR: 0.01557 | WLoss: 0.0888946 | Lm: 8.31e-03 | LR: 0.0001000
[Epoch 8] AvgL: 23.45864 | AvgT: 0.86359 | AvgR: 0.01593 | WLoss: 0.1127052 | Lm: 6.60e-03 | LR: 0.0001000
[Epoch 9] AvgL: 11.13910 | AvgT: 0.58265 | AvgR: 0.01535 | WLoss: 0.1189636 | Lm: 6.18e-03 | LR: 0.0001000
[Epoch 10] AvgL: 67.03228 | AvgT: 1.94593 | AvgR: 0.02253 | WLoss: 16.5113087 | Lm: 6.49e-03 | LR: 0.0001000
[Epoch 11] AvgL: 37.21198 | AvgT: 1.24896 | AvgR: 0.02000 | WLoss: 0.1802613 | Lm: 6.52e-03 | LR: 0.0001000
[Epoch 12] AvgL: 19.04386 | AvgT: 0.90170 | AvgR: 0.01724 | WLoss: 0.0648160 | Lm: 6.60e-03 | LR: 0.0001000
[Epoch 13] AvgL: 21.57280 | AvgT: 1.02188 | AvgR: 0.01799 | WLoss: 0.0675425 | Lm: 6.78e-03 | LR: 0.0001000
[Epoch 14] AvgL: 104.80329 | AvgT: 3.73826 | AvgR: 0.02603 | WLoss: 0.0587258 | Lm: 6.80e-03 | LR: 0.0000500
[Epoch 15] AvgL: 59.77085 | AvgT: 2.05986 | AvgR: 0.01883 | WLoss: 0.1682029 | Lm: 6.63e-03 | LR: 0.0000500
