Training Start: 2026-01-26 01:04:45.406812
Config: Epochs=60, BatchSize=4, LR=1e-05
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 7.98669 | AvgT: 0.70997 | AvgR: 0.01205 | WLoss: 0.6208439 | Lm: 2.91e-03 | LR: 0.0000100
[Epoch 1] AvgL: 7.40572 | AvgT: 0.49472 | AvgR: 0.01279 | WLoss: 0.7882924 | Lm: 2.92e-03 | LR: 0.0000100
[Epoch 2] AvgL: 7.14430 | AvgT: 0.39246 | AvgR: 0.01328 | WLoss: 0.9804630 | Lm: 2.56e-03 | LR: 0.0000100
[Epoch 3] AvgL: 6.84897 | AvgT: 0.34896 | AvgR: 0.01283 | WLoss: 1.2359600 | Lm: 2.20e-03 | LR: 0.0000100
[Epoch 4] AvgL: 7.01097 | AvgT: 0.33641 | AvgR: 0.01414 | WLoss: 1.4108646 | Lm: 2.21e-03 | LR: 0.0000100
[Epoch 5] AvgL: 6.72677 | AvgT: 0.32327 | AvgR: 0.01332 | WLoss: 0.8607599 | Lm: 1.94e-03 | LR: 0.0000100
[Epoch 6] AvgL: 6.54434 | AvgT: 0.31026 | AvgR: 0.01292 | WLoss: 1.8588698 | Lm: 1.66e-03 | LR: 0.0000100
[Epoch 7] AvgL: 7.19569 | AvgT: 0.32028 | AvgR: 0.01571 | WLoss: 0.9215285 | Lm: 1.79e-03 | LR: 0.0000100
[Epoch 8] AvgL: 7.61202 | AvgT: 0.32035 | AvgR: 0.01708 | WLoss: 0.2437259 | Lm: 1.98e-03 | LR: 0.0000100
[Epoch 9] AvgL: 9.37491 | AvgT: 0.33639 | AvgR: 0.02315 | WLoss: 1.5655575 | Lm: 3.23e-03 | LR: 0.0000100
[Epoch 10] AvgL: 6.51889 | AvgT: 0.30517 | AvgR: 0.01290 | WLoss: 1.5400925 | Lm: 2.75e-03 | LR: 0.0000100
[Epoch 11] AvgL: 7.16242 | AvgT: 0.31490 | AvgR: 0.01580 | WLoss: 1.8589808 | Lm: 2.76e-03 | LR: 0.0000100
[Epoch 12] AvgL: 6.54934 | AvgT: 0.30173 | AvgR: 0.01313 | WLoss: 2.5337381 | Lm: 2.47e-03 | LR: 0.0000100
[Epoch 13] AvgL: 6.43597 | AvgT: 0.30210 | AvgR: 0.01294 | WLoss: 1.6694875 | Lm: 2.46e-03 | LR: 0.0000100
[Epoch 14] AvgL: 6.25055 | AvgT: 0.29638 | AvgR: 0.01203 | WLoss: 2.3116472 | Lm: 2.10e-03 | LR: 0.0000050
[Epoch 15] AvgL: 5.92083 | AvgT: 0.28946 | AvgR: 0.01097 | WLoss: 2.2711365 | Lm: 1.94e-03 | LR: 0.0000050
