Training Start: 2026-01-27 13:38:32.291648
Config: Epochs=60, BatchSize=8, LR=2e-05
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 8.10187 | AvgT: 0.67501 | AvgR: 0.01285 | WLoss: 0.8337474 | Lm: 1.31e-02 | LR: 0.0000200
[Epoch 1] AvgL: 8.03619 | AvgT: 0.66682 | AvgR: 0.01278 | WLoss: 1.0627935 | Lm: 1.95e-02 | LR: 0.0000200
[Epoch 2] AvgL: 8.00381 | AvgT: 0.64522 | AvgR: 0.01285 | WLoss: 0.8068371 | Lm: 2.78e-02 | LR: 0.0000200
[Epoch 3] AvgL: 7.86451 | AvgT: 0.59180 | AvgR: 0.01296 | WLoss: 0.5705951 | Lm: 3.83e-02 | LR: 0.0000200
[Epoch 4] AvgL: 7.64611 | AvgT: 0.50635 | AvgR: 0.01322 | WLoss: 0.8574373 | Lm: 5.27e-02 | LR: 0.0000200
[Epoch 5] AvgL: 7.28003 | AvgT: 0.41397 | AvgR: 0.01320 | WLoss: 0.8970041 | Lm: 6.64e-02 | LR: 0.0000200
[Epoch 6] AvgL: 6.94901 | AvgT: 0.36876 | AvgR: 0.01273 | WLoss: 1.0163395 | Lm: 6.64e-02 | LR: 0.0000200
[Epoch 7] AvgL: 6.76247 | AvgT: 0.34391 | AvgR: 0.01249 | WLoss: 1.2532098 | Lm: 5.49e-02 | LR: 0.0000200
[Epoch 8] AvgL: 6.79916 | AvgT: 0.34107 | AvgR: 0.01270 | WLoss: 1.0693412 | Lm: 4.01e-02 | LR: 0.0000200
[Epoch 9] AvgL: 6.60153 | AvgT: 0.33034 | AvgR: 0.01220 | WLoss: 1.2864721 | Lm: 3.48e-02 | LR: 0.0000200
[Epoch 10] AvgL: 6.55105 | AvgT: 0.32563 | AvgR: 0.01214 | WLoss: 1.4556545 | Lm: 2.77e-02 | LR: 0.0000200
[Epoch 11] AvgL: 6.36172 | AvgT: 0.31022 | AvgR: 0.01175 | WLoss: 1.8114293 | Lm: 2.41e-02 | LR: 0.0000200
[Epoch 12] AvgL: 6.25914 | AvgT: 0.30131 | AvgR: 0.01159 | WLoss: 1.4075637 | Lm: 1.91e-02 | LR: 0.0000200
[Epoch 13] AvgL: 6.10222 | AvgT: 0.28957 | AvgR: 0.01124 | WLoss: 1.5696380 | Lm: 1.76e-02 | LR: 0.0000200
