[Epoch 0] Avg Loss: 151.9201, Avg T: 0.9759m, Avg R: 0.265851rad
[Epoch 1] Avg Loss: 33.5713, Avg T: 1.2549m, Avg R: 0.047267rad
[Epoch 2] Avg Loss: 18.1758, Avg T: 1.2501m, Avg R: 0.013322rad
[Epoch 3] Avg Loss: 17.8435, Avg T: 1.2318m, Avg R: 0.013387rad
[Epoch 4] Avg Loss: 17.6930, Avg T: 1.2230m, Avg R: 0.013334rad
[Epoch 5] Avg Loss: 17.7838, Avg T: 1.2268m, Avg R: 0.013253rad
[Epoch 6] Avg Loss: 17.6969, Avg T: 1.2159m, Avg R: 0.013241rad
[Epoch 7] Avg Loss: 17.7004, Avg T: 1.2311m, Avg R: 0.012875rad
[Epoch 8] Avg Loss: 17.6364, Avg T: 1.2272m, Avg R: 0.012963rad
[Epoch 9] Avg Loss: 1.8854, Avg T: 0.1368m, Avg R: 0.001338rad
[Epoch 10] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 11] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 12] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 13] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 14] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 15] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 16] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 17] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 18] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 19] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 20] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 21] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 22] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 23] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 24] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 25] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 26] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 27] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 28] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 29] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 30] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 31] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 32] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 33] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 34] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 35] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 36] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 37] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 38] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 39] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 40] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 41] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
[Epoch 42] Avg Loss: 0.0000, Avg T: 0.0000m, Avg R: 0.000000rad
